,name,layer_affected,kernel_index,layer_affected_index,number_bits_flipped,position_disrupted,min_var,max_var,original_weight_value,quantized_value,bit_disrupted,flipped_quantized_value,flipped_weight_value,q_aware_test_accuracy,tflite_test_accuracy,q_aware_test_acc_degradation,tflite_test_acc_degradation,q_aware_test_loss,tflite_test_loss,original_laplacian,modified_laplacian,original_int_laplacian,modified_int_laplacian,abs_laplacian_diff,abs_int_laplacian_diff
,model-original,,,,,,,,,,,,,0.9114999771118164,0.9117,,,0.2890910804271698,0.3396423,,,,,,
0,model_0_0,conv2d/kernel,0,2,20,"[(3, 2, 0, 0), (2, 1, 0, 30), (0, 2, 0, 28), (0, 4, 0, 31), (1, 2, 0, 26), (0, 4, 0, 6), (3, 0, 0, 25), (0, 0, 0, 6), (0, 4, 0, 0), (4, 1, 0, 21), (0, 3, 0, 12), (0, 3, 0, 25), (2, 4, 0, 1), (2, 4, 0, 0), (1, 4, 0, 11), (4, 3, 0, 15), (3, 2, 0, 5), (1, 1, 0, 26), (3, 0, 0, 25), (0, 3, 0, 30)]","[-0.41804698, -0.34759772, -0.33755487, -0.31486028, -0.13011168, -0.3269764, -0.2637816, -0.3269764, -0.41804698, -0.2561462, -0.79553723, -0.2637816, -0.40498513, -0.41804698, -0.26299253, -0.31544816, -0.2208852, -0.13011168, -0.2637816, -0.34759772]","[0.41804698, 0.34759772, 0.33755487, 0.31486028, 0.13011168, 0.3269764, 0.2637816, 0.3269764, 0.41804698, 0.2561462, 0.79553723, 0.2637816, 0.40498513, 0.41804698, 0.26299253, 0.31544816, 0.2208852, 0.13011168, 0.2637816, 0.34759772]","[-0.0029606253, 0.11460724, -0.26894805, -0.3145542, 0.0666599, -0.012604062, -0.03510938, 0.04087798, -0.41798258, 0.10263052, -0.79570496, 0.15399738, 0.06292823, 0.10985629, 0.013808485, 0.12030271, -0.2189073, 0.05815523, 0.23054928, -0.036232453]","[-1, 42, -101, -127, 65, -5, -17, 16, -127, 51, -127, 74, 20, 33, 7, 48, -126, 57, -17, -13]","[2, 2, 0, 0, 0, 0, 7, 7, 7, 2, 0, 3, 3, 2, 1, 4, 4, 2, 2, 7]","[-5, 46, -102, -128, 64, -6, 111, -112, 1, 55, -128, 66, 28, 37, 5, 32, -110, 61, -21, 115]","[-0.016458542562845187, 0.12590153574004886, -0.2711070625800786, -0.31733949916569265, 0.06556809042382428, -0.015447703402812086, 0.230549278691059, -0.2883571301858256, 0.003291708512569037, 0.1109294534668209, -0.8018013060562253, 0.13708335489738643, 0.08928806012071024, 0.12179321496505437, 0.010354036655951672, 0.07948300218957616, -0.19131789174605543, 0.062494586185207514, -0.04361743110371387, 0.3147538393501222]",0.9086999893188477,0.9087,-0.00279998779296875,-0.0030000000000000027,0.29529955983161926,0.34354946,0.42116553,-0.6317933,154.0,-230.0,1.0529588,384.0
1,model_0_1,conv2d/kernel,0,2,20,"[(2, 4, 0, 2), (0, 3, 0, 3), (3, 0, 0, 29), (2, 4, 0, 21), (0, 1, 0, 13), (2, 2, 0, 18), (2, 3, 0, 4), (3, 1, 0, 17), (0, 4, 0, 13), (3, 4, 0, 15), (3, 2, 0, 14), (2, 0, 0, 0), (2, 4, 0, 13), (2, 4, 0, 14), (2, 4, 0, 27), (2, 0, 0, 0), (1, 4, 0, 2), (4, 4, 0, 13), (3, 2, 0, 31), (4, 1, 0, 12)]","[-0.19616601, -0.28093943, -0.17182907, -0.2561462, -0.30256942, -1.1804308, -0.2743616, -0.3549934, -0.30256942, -0.31544816, -1.873036, -0.41804698, -0.30256942, -1.873036, -0.25802124, -0.41804698, -0.19616601, -0.30256942, -0.31486028, -0.79553723]","[0.19616601, 0.28093943, 0.17182907, 0.2561462, 0.30256942, 1.1804308, 0.2743616, 0.3549934, 0.30256942, 0.31544816, 1.873036, 0.41804698, 0.30256942, 1.873036, 0.25802124, 0.41804698, 0.19616601, 0.30256942, 0.31486028, 0.79553723]","[-0.0061074784, -0.16056964, -0.05186447, -0.03166451, -0.10722086, -0.026775494, 0.09788319, -0.34869716, 0.04812531, 0.022260025, -0.44993916, 0.015675344, 0.060279813, -0.008163001, 0.18544327, 0.02304196, -0.037514057, 0.03913107, 0.120931946, 0.03302923]","[-4, -73, -38, -16, -45, -3, 45, -125, 20, 9, -31, 5, 25, -1, 91, 5, -24, 16, 49, 5]","[4, 6, 5, 3, 1, 5, 7, 1, 7, 6, 5, 1, 0, 3, 1, 1, 4, 6, 0, 1]","[-20, -9, -6, -8, -47, -35, -83, -127, -108, 73, -63, 7, 24, -9, 89, 7, -8, 80, 48, 7]","[-0.030892284836356095, -0.019909093464453388, -0.008117909037222074, -0.016135193231537587, -0.11197450944757838, -0.32531556651348204, -0.1793071942066583, -0.35499340295791626, -0.25730312809230776, 0.1813205987449706, -0.9291438558908898, 0.02304195958798326, 0.05717847290940172, -0.1327348365558414, 0.18081803115334097, 0.02304195958798326, -0.012356913934542439, 0.19059490969800574, 0.11900231218713475, 0.043848508924949826]",0.9101999998092651,0.91,-0.0012999773025512695,-0.0016999999999999238,0.29031825065612793,0.34955856,0.2041654,0.17170759,34.0,28.0,0.032457814,6.0
2,model_1_0,conv2d_1/kernel,1,4,20,"[(4, 2, 22, 11), (4, 1, 24, 57), (0, 2, 6, 49), (4, 3, 15, 24), (0, 3, 6, 2), (0, 0, 7, 41), (3, 3, 19, 53), (4, 0, 1, 43), (0, 0, 16, 9), (4, 4, 8, 60), (0, 4, 17, 24), (2, 2, 27, 31), (2, 3, 14, 38), (2, 0, 6, 5), (0, 4, 21, 52), (3, 2, 21, 38), (3, 2, 24, 8), (2, 0, 21, 54), (4, 2, 12, 20), (2, 1, 2, 37)]","[-0.42015183, -0.3968622, -0.4322254, -0.7118184, -0.5515601, -0.4632039, -0.4645963, -0.5110385, -0.5493134, -0.42427385, -0.7118184, -0.5475643, -0.45975003, -0.5425477, -0.4550707, -0.45975003, -0.38130075, -0.55818623, -0.45471308, -0.4274976]","[0.42015183, 0.3968622, 0.4322254, 0.7118184, 0.5515601, 0.4632039, 0.4645963, 0.5110385, 0.5493134, 0.42427385, 0.7118184, 0.5475643, 0.45975003, 0.5425477, 0.4550707, 0.45975003, 0.38130075, 0.55818623, 0.45471308, 0.4274976]","[0.07128407, -0.09815404, -0.10140086, 0.031191347, 0.064584285, 0.16289644, -0.0011088499, -0.003624133, 0.15609097, -0.0028373187, 0.03594078, 0.024866002, 0.037924346, -0.43344373, 0.08496163, 0.13341925, -0.06724917, -0.08244848, -0.36044827, -0.1991698]","[22, -31, -30, 6, 15, 45, 0, -1, 36, -1, 6, 6, 10, -101, 24, 37, -22, -19, -101, -59]","[7, 3, 5, 1, 3, 3, 3, 3, 7, 5, 3, 2, 5, 5, 2, 5, 3, 5, 4, 7]","[-106, -23, -62, 4, 7, 37, 8, -9, -92, -33, 14, 2, 42, -69, 28, 5, -30, -51, -117, 69]","[-0.3506779051202489, -0.07187268349129385, -0.21100767860262412, 0.02241947707228773, 0.030400950608291025, 0.13494916975967527, 0.029265908744391493, -0.03621532550946934, -0.3979278361703467, -0.11024438583944726, 0.07846816975300706, 0.008623060279005156, 0.15204331583864106, -0.29477001175167056, 0.10033054896227019, 0.018100394742695366, -0.09007104269162876, -0.2241535266553323, -0.41890889711267365, 0.23226247317209017]",0.9110999703407288,0.9112,-0.0004000067710876465,-0.0004999999999999449,0.2896241247653961,0.3410235,0.10275762,-1.6229715,30.0,-482.0,1.7257291,512.0
3,model_1_1,conv2d_1/kernel,1,4,20,"[(2, 0, 5, 8), (2, 4, 24, 60), (2, 4, 7, 18), (4, 2, 8, 61), (1, 2, 2, 7), (4, 0, 11, 7), (4, 2, 7, 25), (3, 3, 4, 41), (0, 1, 9, 37), (4, 0, 3, 63), (1, 1, 2, 34), (2, 0, 3, 21), (3, 1, 27, 0), (2, 0, 26, 34), (4, 2, 27, 55), (2, 3, 21, 0), (3, 4, 1, 50), (1, 4, 2, 5), (0, 2, 19, 38), (2, 1, 19, 8)]","[-0.38130075, -0.42427385, -0.61037, -0.43715987, -0.44084367, -0.44084367, -0.55423445, -0.4632039, -0.4274976, -0.40499523, -0.62777966, -0.5622628, -0.5184392, -0.62777966, -0.50405544, -0.5184392, -0.48398802, -0.5425477, -0.45975003, -0.38130075]","[0.38130075, 0.42427385, 0.61037, 0.43715987, 0.44084367, 0.44084367, 0.55423445, 0.4632039, 0.4274976, 0.40499523, 0.62777966, 0.5622628, 0.5184392, 0.62777966, 0.50405544, 0.5184392, 0.48398802, 0.5425477, 0.45975003, 0.38130075]","[0.10456609, -0.1253363, 0.034307275, -0.016389951, 0.020308908, -0.2584906, -0.011439591, -0.039135262, -0.15113837, -0.031157615, -0.022310924, 0.13321483, 0.059249792, 0.07970919, -0.00206555, -0.072011955, 0.08302249, -0.020876244, 0.0115656555, -0.09418015]","[35, -38, 7, -5, 6, -74, -3, -11, -45, -10, -5, 30, 15, 16, -1, -18, 22, -5, 3, -31]","[5, 0, 2, 1, 1, 2, 1, 3, 1, 5, 1, 0, 6, 2, 7, 5, 0, 5, 2, 2]","[3, -37, 3, -7, 4, -78, -1, -3, -47, -42, -7, 31, 79, 20, 127, -50, 23, -37, 7, -27]","[0.009007104269162876, -0.1236073416987742, 0.014418188511855959, -0.02409542569025295, 0.013884840049142913, -0.2707543809582868, -0.0043640507487800176, -0.010941824575108805, -0.15820777158098898, -0.13393543132646815, -0.03460202864774569, 0.13724524392856388, 0.3224936592297291, 0.09886293899355911, 0.5040554404258728, -0.20410991090489186, 0.08765137312919136, -0.15806507876538856, 0.02534055263977351, -0.08106393842246588]",0.9110000133514404,0.9115,-0.0004999637603759766,-0.00019999999999997797,0.28947913646698,0.34289464,0.4703377,0.41787285,155.0,139.0,0.052464843,16.0
4,model_2_0,conv2d_2/kernel,2,6,20,"[(0, 2, 57, 92), (1, 2, 3, 39), (0, 0, 15, 20), (1, 0, 38, 11), (1, 1, 1, 22), (1, 1, 25, 69), (2, 1, 9, 65), (2, 2, 61, 27), (1, 2, 3, 81), (0, 1, 23, 61), (0, 0, 25, 79), (1, 2, 24, 22), (2, 1, 59, 71), (1, 0, 11, 48), (0, 1, 27, 81), (0, 2, 56, 11), (0, 0, 9, 12), (2, 2, 33, 68), (1, 0, 10, 2), (2, 1, 60, 58)]","[-0.4050469, -0.082864724, -0.38522574, -0.54999113, -0.36832818, -0.3971442, -0.28222787, -0.09199066, -0.4174733, -0.37387055, -0.36912605, -0.36832818, -0.41618958, -0.44241166, -0.4174733, -0.54999113, -0.43329978, -0.09169065, -0.4062506, -0.5415223]","[0.4050469, 0.082864724, 0.38522574, 0.54999113, 0.36832818, 0.3971442, 0.28222787, 0.09199066, 0.4174733, 0.37387055, 0.36912605, 0.36832818, 0.41618958, 0.44241166, 0.4174733, 0.54999113, 0.43329978, 0.09169065, 0.4062506, 0.5415223]","[0.07737545, 0.010164708, -0.086723186, -0.022517616, 0.10501162, -0.072664045, -0.1237116, -0.032543015, 0.031024918, -0.18229735, 0.012539388, 0.13783833, -0.2684352, 0.088932335, -0.049145952, 0.030453077, -0.21565564, -0.005467249, 0.037368808, 0.030568369]","[24, 16, -29, -5, 36, -23, -56, -45, 9, -62, 4, 48, -82, 26, -15, 7, -63, -8, 12, 7]","[3, 1, 0, 2, 4, 1, 7, 2, 6, 0, 3, 3, 0, 4, 3, 0, 3, 5, 1, 0]","[16, 18, -30, -1, 52, -21, 72, -41, 73, -61, 12, 56, -81, 10, -7, 6, -55, -40, 14, 6]","[0.05102953197449211, 0.011744606565302752, -0.09099820702094731, -0.004330638825424074, 0.15081153986022228, -0.0656695131241806, 0.16000320404533327, -0.02969777120614615, 0.23996495989363964, -0.17957561926578913, 0.034878052125765585, 0.16241242754177784, -0.2654437486111648, 0.034835563869926874, -0.023010338619938047, 0.025983832952544444, -0.18764951097683644, -0.028878945534623515, 0.04478353027283676, 0.025583731846546564]",0.9118000268936157,0.9119,0.0003000497817993164,0.000200000000000089,0.2889356017112732,0.3394602,0.10681287,0.12176679,25.0,28.0,0.014953919,3.0
5,model_2_1,conv2d_2/kernel,2,6,20,"[(0, 0, 58, 60), (1, 0, 0, 51), (2, 1, 3, 46), (1, 1, 62, 64), (0, 0, 9, 41), (0, 1, 32, 93), (2, 1, 13, 52), (0, 2, 2, 48), (2, 1, 18, 18), (2, 1, 50, 45), (2, 2, 14, 88), (0, 0, 10, 32), (1, 0, 24, 48), (2, 2, 15, 8), (1, 0, 56, 42), (1, 0, 9, 31), (0, 0, 37, 36), (1, 0, 22, 48), (0, 1, 43, 69), (1, 0, 12, 14)]","[-0.45630985, -0.49453902, -0.3968896, -0.4283024, -0.37787157, -0.47308788, -0.44591174, -0.44241166, -0.43209505, -0.09596295, -0.3124038, -0.22439125, -0.44241166, -0.3880544, -0.46759158, -0.390236, -0.40545613, -0.44241166, -0.3971442, -0.38664362]","[0.45630985, 0.49453902, 0.3968896, 0.4283024, 0.37787157, 0.47308788, 0.44591174, 0.44241166, 0.43209505, 0.09596295, 0.3124038, 0.22439125, 0.44241166, 0.3880544, 0.46759158, 0.390236, 0.40545613, 0.44241166, 0.3971442, 0.38664362]","[0.43734056, -0.14868085, 0.05534426, -0.36242265, 0.061309244, 0.15629704, -0.047617517, 0.013417086, -0.15688416, -0.036746956, 0.05515285, -0.111927465, 0.24510075, 0.11740632, 0.13746455, -0.112542026, 0.062245257, 0.10670036, -0.0006357883, 0.084346965]","[122, -38, 18, -107, 21, 42, -14, 4, -46, -49, 22, -63, 70, 38, 37, -37, 19, 31, 0, 28]","[1, 7, 1, 0, 3, 3, 4, 2, 7, 4, 0, 5, 1, 3, 4, 6, 6, 1, 0, 2]","[120, 90, 16, -108, 29, 34, -30, 0, 82, -33, 23, -31, 68, 46, 53, -101, 83, 29, 1, 24]","[0.4311589180953859, 0.3504607245678038, 0.05000183901448888, -0.36422566916998916, 0.08628563477298407, 0.1266534473952346, -0.10533348077864159, 0.0, 0.27899050524854285, -0.024935254489812327, 0.05657706579824132, -0.0547726677628014, 0.23688183431550275, 0.1405551372550604, 0.19513664517815657, -0.31034515762892295, 0.2649831372921861, 0.10102313522278793, 0.003127119672580028, 0.07306651055343508]",0.9115999937057495,0.9119,0.00010001659393310547,0.000200000000000089,0.2893449366092682,0.3436709,-0.42415532,-0.39031398,-140.0,-128.0,0.03384134,12.0
6,model_3_0,dense_last/kernel,3,9,20,"[(40, 5), (69, 2), (88, 2), (39, 8), (38, 9), (43, 4), (45, 5), (0, 5), (29, 2), (54, 4), (73, 6), (29, 5), (83, 2), (77, 3), (33, 3), (58, 1), (3, 5), (23, 6), (33, 7), (61, 7)]","[-1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446]","[1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446]","[-0.17526124, -0.010152085, -0.123125404, 0.017335765, -0.11568621, -0.028722612, -0.03307711, -0.23191853, -0.024248874, -0.1526891, 0.23845075, -0.03870107, -0.17165422, -0.35513982, -0.31337693, 0.4248033, 0.050836854, 0.11093089, -0.20156801, 0.07705188]","[-17, -1, -12, 2, -11, -3, -3, -23, -2, -15, 23, -4, -17, -34, -30, 41, 5, 11, -20, 7]","[2, 7, 7, 0, 1, 0, 1, 3, 1, 1, 3, 4, 6, 5, 2, 1, 3, 4, 3, 4]","[-21, 127, 116, 3, -9, -4, -1, -31, -4, -13, 31, -20, -81, -2, -26, 43, 13, 27, -28, 23]","[-0.21635722081492267, 1.3084460496902466, 1.19511607688243, 0.03090817440213181, -0.09272452320639543, -0.04121089920284241, -0.010302724800710603, -0.3193844688220287, -0.04121089920284241, -0.13393542240923784, 0.3193844688220287, -0.20605449601421205, -0.8345207088575588, -0.020605449601421206, -0.2678708448184757, 0.44301716643055594, 0.13393542240923784, 0.27817356961918627, -0.28847629441989686, 0.23696267041634386]",0.8985999822616577,0.8986,-0.012899994850158691,-0.0131,0.3242318034172058,0.3803685,-0.24538869,-0.8850319,-22.0,-86.0,0.6396432,64.0
7,model_3_1,dense_last/kernel,3,9,20,"[(34, 3), (44, 1), (39, 0), (13, 9), (89, 9), (19, 5), (81, 5), (58, 4), (83, 4), (94, 2), (52, 5), (4, 2), (7, 9), (71, 0), (91, 0), (49, 0), (55, 2), (93, 0), (54, 0), (67, 8)]","[-1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446, -1.308446]","[1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446, 1.308446]","[0.072891176, -0.34233955, 0.18735385, 0.13743956, 0.0029132036, 0.39854187, -0.26275876, -0.48124743, -0.17746097, 0.022703076, -0.14636084, 0.2829868, 0.050992247, 0.2182226, -0.1776417, -0.012446269, -0.18278722, 0.0685854, -0.29373693, 0.19307359]","[7, -33, 18, 13, 0, 39, -26, -47, -17, 2, -14, 27, 5, 21, -17, -1, -18, 7, -29, 19]","[3, 6, 3, 4, 6, 5, 5, 1, 4, 7, 1, 1, 3, 1, 7, 7, 7, 5, 5, 5]","[15, -97, 26, 29, 64, 7, -58, -45, -1, -126, -16, 25, 13, 23, 111, 127, 110, 39, -61, 51]","[0.15454087201065905, -0.9993643056689285, 0.2678708448184757, 0.2987790192206075, 0.6593743872454786, 0.07211907360497422, -0.597558038441215, -0.46362261603197713, -0.010302724800710603, -1.298143324889536, -0.16484359681136965, 0.2575681200177651, 0.13393542240923784, 0.23696267041634386, 1.1436024528788769, 1.3084460496902466, 1.1332997280781663, 0.4018062672277135, -0.6284662128433468, 0.5254389648362408]",0.8752999901771545,0.8755,-0.036199986934661865,-0.03620000000000001,0.441096693277359,0.5519302,-0.6660938,-1.9955554,-66.0,-194.0,1.3294616,128.0
8,model_0_0,conv2d/kernel,0,2,20,"[(3, 2, 0, 18), (1, 1, 0, 13), (1, 3, 0, 16), (2, 4, 0, 6), (0, 3, 0, 25), (2, 1, 0, 26), (1, 0, 0, 8), (4, 1, 0, 21), (4, 2, 0, 2), (4, 4, 0, 4), (4, 4, 0, 4), (1, 4, 0, 4), (2, 2, 0, 1), (2, 3, 0, 2), (2, 4, 0, 20), (3, 4, 0, 16), (1, 2, 0, 23), (1, 4, 0, 18), (1, 2, 0, 14), (4, 4, 0, 9)]","[-1.1804308, -0.30256942, -0.3302648, -0.3269764, -0.2637816, -0.13011168, -0.32898462, -0.2561462, -0.19616601, -0.2743616, -0.2743616, -0.2743616, -0.40498513, -0.19616601, -0.26310202, -0.3302648, -0.23532543, -1.1804308, -1.873036, -0.29012367]","[1.1804308, 0.30256942, 0.3302648, 0.3269764, 0.2637816, 0.13011168, 0.32898462, 0.2561462, 0.19616601, 0.2743616, 0.2743616, 0.2743616, 0.40498513, 0.19616601, 0.26310202, 0.3302648, 0.23532543, 1.1804308, 1.873036, 0.29012367]","[0.0056467056, 0.1826583, -0.13874212, 0.13131379, 0.15399738, -0.03156268, 0.079562284, 0.10263052, 0.022564847, -0.015845755, -0.084252775, 0.097726084, 0.103560284, -0.025254158, -0.012428592, 0.12428168, -0.006570443, 0.19873734, 0.15486282, 0.047273807]","[1, 77, -53, 51, 74, -31, 31, 51, 15, -7, -7, 45, 32, -16, -6, 48, -4, 21, 11, 21]","[1, 7, 7, 3, 1, 3, 5, 7, 5, 5, 0, 4, 1, 0, 5, 1, 2, 4, 3, 2]","[3, -51, 75, 59, 72, -23, 63, -77, 47, -39, -8, 61, 34, -15, -38, 50, -8, 5, 3, 17]","[0.02788419141544132, -0.12150425493247866, 0.19503827170124205, 0.15190241679431885, 0.14954547806987611, -0.02356353249606185, 0.16319709406124325, -0.15530123485354927, 0.07259686936543683, -0.08425277800071897, -0.017282621128352608, 0.13177998610368863, 0.10842121586086244, -0.023169213627267073, -0.07872344048943107, 0.1300255144674947, -0.014823648873276599, 0.04647365235906886, 0.0442449455186138, 0.03883545206287715]",0.907800018787384,0.9077,-0.003699958324432373,-0.0040000000000000036,0.30791786313056946,0.36356425,-0.10929131,-0.092414595,-48.0,-40.0,0.016876712,8.0
9,model_0_1,conv2d/kernel,0,2,20,"[(4, 1, 0, 17), (2, 4, 0, 11), (2, 1, 0, 16), (1, 3, 0, 12), (1, 3, 0, 17), (2, 2, 0, 25), (3, 1, 0, 0), (2, 3, 0, 1), (0, 4, 0, 16), (3, 3, 0, 15), (0, 2, 0, 22), (1, 1, 0, 18), (1, 3, 0, 11), (0, 1, 0, 9), (4, 2, 0, 10), (1, 1, 0, 14), (4, 0, 0, 5), (2, 4, 0, 3), (4, 0, 0, 8), (2, 3, 0, 25)]","[-0.3549934, -0.26299253, -0.3302648, -0.79553723, -0.3549934, -0.2637816, -0.41804698, -0.40498513, -0.3302648, -0.31544816, -0.2764671, -1.1804308, -0.26299253, -0.29012367, -1.8581172, -1.873036, -0.2208852, -0.28093943, -0.32898462, -0.2637816]","[0.3549934, 0.26299253, 0.3302648, 0.79553723, 0.3549934, 0.2637816, 0.41804698, 0.40498513, 0.3302648, 0.31544816, 0.2764671, 1.1804308, 0.26299253, 0.29012367, 1.8581172, 1.873036, 0.2208852, 0.28093943, 0.32898462, 0.2637816]","[0.107994705, 0.06697595, 0.14549321, -0.5446295, -0.0069984472, 0.028620392, -0.07598737, -0.12260104, -0.17610347, 0.19299468, -0.1752879, -0.6615898, 0.03861257, 0.055334646, -0.04809556, 0.22602606, 0.1488824, -0.05495079, -0.053423554, -0.066682115]","[39, 32, 56, -87, -3, 14, -23, -38, -68, 78, -81, -71, 19, 24, -3, 15, 86, -25, -21, -32]","[7, 5, 0, 4, 3, 2, 2, 7, 1, 1, 5, 0, 5, 1, 3, 4, 2, 6, 1, 6]","[-89, 0, 57, -71, -11, 10, -19, 90, -66, 76, -113, -72, 51, 26, -11, 31, 82, -89, -23, -96]","[-0.24877490443507516, 0.0, 0.14822908649294395, -0.4447491619530625, -0.030747460098717157, 0.020770205287482794, -0.0625424617388117, 0.2869973361022829, -0.17163367909709298, 0.18877213020024336, -0.24599042487895395, -0.6692205939705916, 0.10561117389070707, 0.05939539727263563, -0.16093928701295626, 0.45719777035900927, 0.14261879202887767, -0.19687881314848352, -0.05957989148267611, -0.19939397075983484]",0.9089999794960022,0.909,-0.002499997615814209,-0.0026999999999999247,0.30282241106033325,0.3599988,0.20878954,0.739637,104.0,360.0,0.5308475,256.0
