,reference,layer_name,n_bits_flipped,bit_disrupted,accuracy,accuracy_degradation,loss
,original,,,,0.914,,0.38962257
0,2023/10/25 09:45:10,conv2d/,1,0,0.9143,-0.00029999999999996696,0.3906745
1,2023/10/25 09:45:12,conv2d/,2,0,0.9143,-0.00029999999999996696,0.3899495
2,2023/10/25 09:45:14,conv2d/,3,0,0.9137,0.000300000000000078,0.39167744
3,2023/10/25 09:45:16,conv2d/,4,0,0.9138,0.000200000000000089,0.38725212
4,2023/10/25 09:45:18,conv2d/,1,1,0.914,0.0,0.38878807
5,2023/10/25 09:45:19,conv2d/,2,1,0.9134,0.0006000000000000449,0.39155215
6,2023/10/25 09:45:21,conv2d/,3,1,0.914,0.0,0.39262763
7,2023/10/25 09:45:23,conv2d/,4,1,0.9133,0.0007000000000000339,0.39059755
8,2023/10/25 09:45:24,conv2d/,1,2,0.9135,0.000500000000000056,0.3925606
9,2023/10/25 09:45:26,conv2d/,2,2,0.9138,0.000200000000000089,0.39039093
10,2023/10/25 09:45:28,conv2d/,3,2,0.9142,-0.00019999999999997797,0.39007878
11,2023/10/25 09:45:29,conv2d/,4,2,0.9134,0.0006000000000000449,0.39035562
12,2023/10/25 09:45:31,conv2d/,1,3,0.9145,-0.0004999999999999449,0.3907007
13,2023/10/25 09:45:32,conv2d/,2,3,0.9127,0.0013000000000000789,0.3908008
14,2023/10/25 09:45:34,conv2d/,3,3,0.913,0.0010000000000000009,0.38647807
15,2023/10/25 09:45:36,conv2d/,4,3,0.9129,0.0010999999999999899,0.38927552
16,2023/10/25 09:45:37,conv2d/,1,4,0.914,0.0,0.3919353
17,2023/10/25 09:45:39,conv2d/,2,4,0.9151,-0.0010999999999999899,0.38634175
18,2023/10/25 09:45:41,conv2d/,3,4,0.914,0.0,0.3862311
19,2023/10/25 09:45:42,conv2d/,4,4,0.9135,0.000500000000000056,0.38953885
20,2023/10/25 09:45:44,conv2d/,1,5,0.9142,-0.00019999999999997797,0.38982865
21,2023/10/25 09:45:46,conv2d/,2,5,0.9125,0.0015000000000000568,0.38647375
22,2023/10/25 09:45:47,conv2d/,3,5,0.9124,0.0016000000000000458,0.39730635
23,2023/10/25 09:45:49,conv2d/,4,5,0.9133,0.0007000000000000339,0.38464537
24,2023/10/25 09:45:51,conv2d/,1,6,0.9128,0.0012000000000000899,0.39650634
25,2023/10/25 09:45:52,conv2d/,2,6,0.9129,0.0010999999999999899,0.38502535
26,2023/10/25 09:45:54,conv2d/,3,6,0.912,0.0020000000000000018,0.39034557
27,2023/10/25 09:45:56,conv2d/,4,6,0.9121,0.0019000000000000128,0.40149188
28,2023/10/25 09:45:57,conv2d/,1,7,0.913,0.0010000000000000009,0.3865064
29,2023/10/25 09:45:59,conv2d/,2,7,0.9127,0.0013000000000000789,0.39055565
30,2023/10/25 09:46:01,conv2d/,3,7,0.9076,0.006400000000000072,0.39645776
31,2023/10/25 09:46:02,conv2d/,4,7,0.9101,0.0039000000000000146,0.4077022
32,2023/10/25 09:46:04,conv2d/,1,0,0.914,0.0,0.38846025
33,2023/10/25 09:46:06,conv2d/,2,0,0.9141,-9.999999999998899e-05,0.39073417
34,2023/10/25 09:46:07,conv2d/,3,0,0.9141,-9.999999999998899e-05,0.38938373
35,2023/10/25 09:46:09,conv2d/,4,0,0.9139,9.999999999998899e-05,0.38964137
36,2023/10/25 09:46:11,conv2d/,1,1,0.9145,-0.0004999999999999449,0.39296484
37,2023/10/25 09:46:12,conv2d/,2,1,0.9145,-0.0004999999999999449,0.38926512
38,2023/10/25 09:46:14,conv2d/,3,1,0.9135,0.000500000000000056,0.3908732
39,2023/10/25 09:46:16,conv2d/,4,1,0.914,0.0,0.39075077
40,2023/10/25 09:46:17,conv2d/,1,2,0.9138,0.000200000000000089,0.38930872
41,2023/10/25 09:46:19,conv2d/,2,2,0.9146,-0.0005999999999999339,0.3893113
42,2023/10/25 09:46:21,conv2d/,3,2,0.9138,0.000200000000000089,0.39067638
43,2023/10/25 09:46:22,conv2d/,4,2,0.9143,-0.00029999999999996696,0.3901039
44,2023/10/25 09:46:24,conv2d/,1,3,0.9133,0.0007000000000000339,0.387995
45,2023/10/25 09:46:26,conv2d/,2,3,0.9138,0.000200000000000089,0.38520658
46,2023/10/25 09:46:28,conv2d/,3,3,0.9135,0.000500000000000056,0.38813254
47,2023/10/25 09:46:29,conv2d/,4,3,0.9138,0.000200000000000089,0.38766474
48,2023/10/25 09:46:31,conv2d/,1,4,0.914,0.0,0.3894811
49,2023/10/25 09:46:33,conv2d/,2,4,0.9145,-0.0004999999999999449,0.3859231
50,2023/10/25 09:46:34,conv2d/,3,4,0.914,0.0,0.38635337
51,2023/10/25 09:46:36,conv2d/,4,4,0.9133,0.0007000000000000339,0.3858619
52,2023/10/25 09:46:38,conv2d/,1,5,0.9137,0.000300000000000078,0.38684803
53,2023/10/25 09:46:39,conv2d/,2,5,0.9133,0.0007000000000000339,0.38711208
54,2023/10/25 09:46:41,conv2d/,3,5,0.9138,0.000200000000000089,0.38984028
55,2023/10/25 09:46:43,conv2d/,4,5,0.9126,0.0014000000000000679,0.37390122
56,2023/10/25 09:46:45,conv2d/,1,6,0.9136,0.00040000000000006697,0.39481768
57,2023/10/25 09:46:46,conv2d/,2,6,0.9047,0.009300000000000086,0.43619186
58,2023/10/25 09:46:48,conv2d/,3,6,0.9121,0.0019000000000000128,0.38629737
59,2023/10/25 09:46:50,conv2d/,4,6,0.9096,0.0044000000000000705,0.4271368
60,2023/10/25 09:46:51,conv2d/,1,7,0.911,0.0030000000000000027,0.390869
61,2023/10/25 09:46:53,conv2d/,2,7,0.913,0.0010000000000000009,0.38317585
62,2023/10/25 09:46:55,conv2d/,3,7,0.912,0.0020000000000000018,0.3922627
63,2023/10/25 09:46:56,conv2d/,4,7,0.9091,0.0049000000000000155,0.39068475
64,2023/10/25 09:46:58,conv2d/,1,0,0.9146,-0.0005999999999999339,0.38865155
65,2023/10/25 09:47:00,conv2d/,2,0,0.9138,0.000200000000000089,0.3894697
66,2023/10/25 09:47:02,conv2d/,3,0,0.914,0.0,0.3880178
67,2023/10/25 09:47:03,conv2d/,4,0,0.914,0.0,0.3926467
68,2023/10/25 09:47:05,conv2d/,1,1,0.9138,0.000200000000000089,0.39258814
69,2023/10/25 09:47:07,conv2d/,2,1,0.9133,0.0007000000000000339,0.3906442
70,2023/10/25 09:47:08,conv2d/,3,1,0.9142,-0.00019999999999997797,0.38860533
71,2023/10/25 09:47:10,conv2d/,4,1,0.9142,-0.00019999999999997797,0.3906888
72,2023/10/25 09:47:12,conv2d/,1,2,0.9145,-0.0004999999999999449,0.389493
73,2023/10/25 09:47:14,conv2d/,2,2,0.9136,0.00040000000000006697,0.3884172
74,2023/10/25 09:47:15,conv2d/,3,2,0.9141,-9.999999999998899e-05,0.38951758
75,2023/10/25 09:47:17,conv2d/,4,2,0.9144,-0.00039999999999995595,0.3866736
76,2023/10/25 09:47:19,conv2d/,1,3,0.9135,0.000500000000000056,0.38962802
77,2023/10/25 09:47:21,conv2d/,2,3,0.9145,-0.0004999999999999449,0.38696134
78,2023/10/25 09:47:22,conv2d/,3,3,0.9141,-9.999999999998899e-05,0.39061913
79,2023/10/25 09:47:24,conv2d/,4,3,0.914,0.0,0.39089042
80,2023/10/25 09:47:26,conv2d/,1,4,0.9139,9.999999999998899e-05,0.3900948
81,2023/10/25 09:47:28,conv2d/,2,4,0.9134,0.0006000000000000449,0.38970587
82,2023/10/25 09:47:29,conv2d/,3,4,0.9141,-9.999999999998899e-05,0.38747236
83,2023/10/25 09:47:31,conv2d/,4,4,0.9146,-0.0005999999999999339,0.3943545
84,2023/10/25 09:47:33,conv2d/,1,5,0.913,0.0010000000000000009,0.38603204
85,2023/10/25 09:47:34,conv2d/,2,5,0.9145,-0.0004999999999999449,0.38675135
86,2023/10/25 09:47:36,conv2d/,3,5,0.9133,0.0007000000000000339,0.38494202
87,2023/10/25 09:47:38,conv2d/,4,5,0.9133,0.0007000000000000339,0.38985327
88,2023/10/25 09:47:40,conv2d/,1,6,0.9139,9.999999999998899e-05,0.3918158
89,2023/10/25 09:47:41,conv2d/,2,6,0.9089,0.005099999999999993,0.41893122
90,2023/10/25 09:47:43,conv2d/,3,6,0.9062,0.007800000000000029,0.4328088
91,2023/10/25 09:47:45,conv2d/,4,6,0.9121,0.0019000000000000128,0.38261235
92,2023/10/25 09:47:47,conv2d/,1,7,0.9146,-0.0005999999999999339,0.39150625
93,2023/10/25 09:47:48,conv2d/,2,7,0.9098,0.0041999999999999815,0.39960232
94,2023/10/25 09:47:50,conv2d/,3,7,0.9083,0.005700000000000038,0.4133616
95,2023/10/25 09:47:52,conv2d/,4,7,0.9035,0.010500000000000065,0.41523412
96,2023/10/25 09:47:53,conv2d/,1,0,0.9143,-0.00029999999999996696,0.38965526
97,2023/10/25 09:47:55,conv2d/,2,0,0.9141,-9.999999999998899e-05,0.38987422
98,2023/10/25 09:47:57,conv2d/,3,0,0.914,0.0,0.38916102
99,2023/10/25 09:47:59,conv2d/,4,0,0.9138,0.000200000000000089,0.39139572
100,2023/10/25 09:48:00,conv2d/,1,1,0.9134,0.0006000000000000449,0.38780245
101,2023/10/25 09:48:02,conv2d/,2,1,0.9147,-0.0006999999999999229,0.3892669
102,2023/10/25 09:48:04,conv2d/,3,1,0.9131,0.0009000000000000119,0.388737
103,2023/10/25 09:48:05,conv2d/,4,1,0.9137,0.000300000000000078,0.39244008
104,2023/10/25 09:48:07,conv2d/,1,2,0.9145,-0.0004999999999999449,0.38715994
105,2023/10/25 09:48:09,conv2d/,2,2,0.9136,0.00040000000000006697,0.38652012
106,2023/10/25 09:48:10,conv2d/,3,2,0.9142,-0.00019999999999997797,0.38797462
107,2023/10/25 09:48:12,conv2d/,4,2,0.9142,-0.00019999999999997797,0.38939643
108,2023/10/25 09:48:14,conv2d/,1,3,0.9141,-9.999999999998899e-05,0.39071888
109,2023/10/25 09:48:16,conv2d/,2,3,0.9139,9.999999999998899e-05,0.3922489
110,2023/10/25 09:48:17,conv2d/,3,3,0.9138,0.000200000000000089,0.39167255
111,2023/10/25 09:48:19,conv2d/,4,3,0.9142,-0.00019999999999997797,0.3910252
112,2023/10/25 09:48:21,conv2d/,1,4,0.9131,0.0009000000000000119,0.39390865
113,2023/10/25 09:48:22,conv2d/,2,4,0.9138,0.000200000000000089,0.39632753
114,2023/10/25 09:48:24,conv2d/,3,4,0.914,0.0,0.38893253
115,2023/10/25 09:48:26,conv2d/,4,4,0.9139,9.999999999998899e-05,0.39008763
116,2023/10/25 09:48:27,conv2d/,1,5,0.914,0.0,0.38975012
117,2023/10/25 09:48:29,conv2d/,2,5,0.914,0.0,0.3891327
118,2023/10/25 09:48:31,conv2d/,3,5,0.9129,0.0010999999999999899,0.39313814
119,2023/10/25 09:48:32,conv2d/,4,5,0.9138,0.000200000000000089,0.390646
120,2023/10/25 09:48:34,conv2d/,1,6,0.9049,0.009099999999999997,0.4369393
121,2023/10/25 09:48:36,conv2d/,2,6,0.9127,0.0013000000000000789,0.3931219
122,2023/10/25 09:48:37,conv2d/,3,6,0.9141,-9.999999999998899e-05,0.38290718
123,2023/10/25 09:48:39,conv2d/,4,6,0.9119,0.0020999999999999908,0.38665938
124,2023/10/25 09:48:41,conv2d/,1,7,0.9123,0.0017000000000000348,0.39680094
125,2023/10/25 09:48:43,conv2d/,2,7,0.9126,0.0014000000000000679,0.38883808
126,2023/10/25 09:48:44,conv2d/,3,7,0.909,0.0050000000000000044,0.37816957
127,2023/10/25 09:48:46,conv2d/,4,7,0.9127,0.0013000000000000789,0.38133353
128,2023/10/25 09:48:48,conv2d/,1,0,0.9136,0.00040000000000006697,0.3901447
129,2023/10/25 09:48:49,conv2d/,2,0,0.914,0.0,0.38870585
130,2023/10/25 09:48:51,conv2d/,3,0,0.9139,9.999999999998899e-05,0.38971993
131,2023/10/25 09:48:53,conv2d/,4,0,0.9138,0.000200000000000089,0.3901316
132,2023/10/25 09:48:54,conv2d/,1,1,0.9143,-0.00029999999999996696,0.39081365
133,2023/10/25 09:48:56,conv2d/,2,1,0.9149,-0.0009000000000000119,0.39134035
134,2023/10/25 09:48:58,conv2d/,3,1,0.9136,0.00040000000000006697,0.38982993
135,2023/10/25 09:48:59,conv2d/,4,1,0.9146,-0.0005999999999999339,0.38762882
136,2023/10/25 09:49:01,conv2d/,1,2,0.9147,-0.0006999999999999229,0.38941193
137,2023/10/25 09:49:03,conv2d/,2,2,0.9141,-9.999999999998899e-05,0.38599992
138,2023/10/25 09:49:04,conv2d/,3,2,0.9138,0.000200000000000089,0.3898588
139,2023/10/25 09:49:06,conv2d/,4,2,0.9141,-9.999999999998899e-05,0.39005238
140,2023/10/25 09:49:08,conv2d/,1,3,0.9139,9.999999999998899e-05,0.39034998
141,2023/10/25 09:49:09,conv2d/,2,3,0.9145,-0.0004999999999999449,0.38915923
142,2023/10/25 09:49:11,conv2d/,3,3,0.9134,0.0006000000000000449,0.38672277
143,2023/10/25 09:49:13,conv2d/,4,3,0.9131,0.0009000000000000119,0.3938467
144,2023/10/25 09:49:15,conv2d/,1,4,0.9149,-0.0009000000000000119,0.38938388
145,2023/10/25 09:49:16,conv2d/,2,4,0.9137,0.000300000000000078,0.39152402
146,2023/10/25 09:49:18,conv2d/,3,4,0.9144,-0.00039999999999995595,0.39035532
147,2023/10/25 09:49:20,conv2d/,4,4,0.9143,-0.00029999999999996696,0.3859816
148,2023/10/25 09:49:21,conv2d/,1,5,0.9137,0.000300000000000078,0.38978517
149,2023/10/25 09:49:23,conv2d/,2,5,0.9138,0.000200000000000089,0.38610488
150,2023/10/25 09:49:25,conv2d/,3,5,0.9136,0.00040000000000006697,0.39262614
151,2023/10/25 09:49:26,conv2d/,4,5,0.9112,0.0028000000000000247,0.40501875
152,2023/10/25 09:49:28,conv2d/,1,6,0.9093,0.0047000000000000375,0.42050377
153,2023/10/25 09:49:30,conv2d/,2,6,0.9114,0.0026000000000000467,0.39926493
154,2023/10/25 09:49:31,conv2d/,3,6,0.9073,0.006700000000000039,0.4208004
155,2023/10/25 09:49:33,conv2d/,4,6,0.9084,0.005600000000000049,0.417777
156,2023/10/25 09:49:35,conv2d/,1,7,0.9091,0.0049000000000000155,0.40197554
157,2023/10/25 09:49:36,conv2d/,2,7,0.9134,0.0006000000000000449,0.38515434
158,2023/10/25 09:49:38,conv2d/,3,7,0.9054,0.008600000000000052,0.38608286
159,2023/10/25 09:49:40,conv2d/,4,7,0.9124,0.0016000000000000458,0.39032963
